Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Has_Outlier,Job Title_Encoded,Industry_Encoded,Job Status_Encoded,AI Impact Level_Encoded,Required Education_Encoded,Location_Encoded,Median Salary (USD)_Normalized,Experience Required (Years)_Normalized,Job Openings (2024)_Normalized,Projected Openings (2030)_Normalized,Remote Work Ratio (%)_Normalized,Automation Risk (%)_Normalized,Gender Diversity (%)_Normalized
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High,142660.31,Master’s Degree,2,2377,7307,4.29,16.88,India,56.57,False,115,5,0,0,3,5,1.5268278144806002,-1.3284929718903358,-0.9306802611917585,0.778921892744976,-1.572398963858125,-1.1571870090614593,0.3815095341227885
Music therapist,Education,Increasing,High,122569.29,High School,4,2661,5588,88.17,26.8,India,34.19,False,392,0,1,0,2,5,0.9429807055556452,-0.9984913642535169,-0.8314129507571144,0.1792364807355837,1.3233893828326784,-0.8121964454967011,-0.9140509082096984
Advertising copywriter,Retail,Decreasing,High,122668.89,Bachelor’s Degree,14,7291,7469,65.94,7.14,Brazil,74.45,False,22,6,0,0,1,1,0.9458750918062651,0.6515166739305776,0.7869238355541608,0.835436748327013,0.5559433295787851,-1.495917663206696,1.416568547031853
Commercial horticulturist,Education,Decreasing,Low,60874.45,Associate Degree,14,5892,369,43.78,95.96,UK,56.8,False,119,0,0,1,0,6,-0.8498776943457869,0.6515166739305776,0.2979274718285725,-1.641448897552385,-0.20908611442059727,1.5929998625817954,0.39482405162665213
Secondary school teacher,Finance,Increasing,Moderate,49705.11,PhD,4,5398,3531,20.77,60.11,Germany,49.88,False,538,2,1,2,4,4,-1.1744598642704525,-0.9984913642535169,0.12525827691760705,-0.5383626423029969,-1.0034600993676095,0.3462345698603655,-0.005769257620032449
"Production assistant, radio",Healthcare,Increasing,Low,59923.23,High School,1,8039,3829,55.19,48.57,China,78.99,False,459,3,1,1,2,3,-0.8775202454433216,-1.4934937757087452,1.048374357403153,-0.43440321660270664,0.18482119406464426,-0.05509517848008927,1.6793855447168164
Armed forces technical officer,Retail,Increasing,Moderate,52060.54,PhD,13,8317,9078,84.29,29.58,India,53.79,False,46,6,1,2,4,5,-1.1060108260546173,0.48651587011216807,1.1455444711384737,1.3967478756819358,1.1894401841540865,-0.7155156222396419,0.22057753994565202
Youth worker,Retail,Decreasing,Moderate,110077.96,Master’s Degree,18,4286,8248,24.27,20.75,USA,67.62,False,638,6,0,2,3,7,0.5799813701745868,1.3115198892042153,-0.26342217802367546,1.107196455107302,-0.8826296366420754,-1.0225989565417402,1.0211852663736367
Special effects artist,Education,Decreasing,Moderate,102393.43,PhD,0,348,5612,86.55,18.51,India,48.47,False,555,0,0,2,4,5,0.35666813749913817,-1.6584945795271546,-1.6398822783463107,0.18760905193292252,1.2674621400854311,-1.1005000515402341,-0.08739303883937163
Ceramics designer,Transportation,Increasing,High,73318.63,Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69,False,83,7,1,0,0,1,-0.48824854281730545,0.1565142624753492,-1.2466578972231608,1.2142955950065941,-0.30126249598550486,0.2585958379870601,-1.0008847180175058
Animal technologist,Transportation,Decreasing,Moderate,72953.11,Master’s Degree,3,1464,6938,54.24,1.9,Canada,44.82,False,36,7,0,2,3,2,-0.49887059163584485,-1.1634921680719263,-1.249803692272146,0.6501936105858918,0.1520243541819994,-1.678150581863887,-0.29868864270503626
Firefighter,IT,Increasing,Low,34082.78,High School,4,2163,6734,87.31,90.32,Canada,48.98,False,253,4,1,1,2,2,-1.6284463818873576,-0.9984913642535169,-1.005480276800962,0.5790267554085119,1.2936996119915471,1.3968560341034448,-0.05786954350471723
Charity fundraiser,Education,Increasing,High,41523.13,Bachelor’s Degree,2,7568,9624,23.23,63.1,India,38.94,False,84,0,1,0,1,5,-1.4122290451423944,-1.3284929718903358,0.8837444165062609,1.5872238704213937,-0.918533545566234,0.45021862077353364,-0.6390771771516415
Housing manager/officer,Education,Decreasing,Moderate,92165.61,PhD,17,2582,5018,18.15,66.91,USA,34.93,False,303,0,0,2,4,7,0.059446635673704284,1.1465190853858058,-0.85902604063154,-0.019612085201213058,-1.0939103314650096,0.5827200368200788,-0.8712128953711799
Jewellery designer,Retail,Increasing,High,62229.93,High School,15,3369,3297,87.85,21.83,Canada,43.89,False,331,6,1,0,2,2,-0.8104873060426744,0.816517477748987,-0.5839437402369453,-0.6199952114770503,1.3123420262406293,-0.9850395000246094,-0.35252560478587686
Ecologist,IT,Decreasing,Moderate,106122.32,Associate Degree,17,5407,4631,43.99,4.91,India,42.53,False,178,4,0,2,0,5,0.46503006466854935,1.1465190853858058,0.12840407196659226,-0.15461979575830137,-0.20183628665706518,-1.5734709854596607,-0.4312549256782889
Operations geologist,Entertainment,Increasing,High,142549.39,High School,5,7635,3586,8.59,70.67,USA,26.25,False,413,1,1,0,2,7,1.5236044678649507,-0.8334905604351075,0.9071631129820396,-0.5191754999757621,-1.423950109652469,0.7134825891389793,-1.373691208125692
Patent attorney,Entertainment,Increasing,Low,76323.91,Associate Degree,18,1334,2198,12.72,21.4,China,32.51,False,423,1,1,1,0,3,-0.4009147967202935,1.3115198892042153,-1.295242954090821,-1.0033892008885232,-1.2813701636363384,-0.999993728082356,-1.0113047751944426
Media buyer,Transportation,Decreasing,Low,79665.42,PhD,20,1527,5198,76.29,41.06,China,69.95,False,368,7,0,1,4,3,-0.3038101722192068,1.6415214968410343,-1.2277831269292496,0.04318219877882802,0.9132562693528653,-0.3162725103723609,1.1560671176084307
Town planner,Entertainment,Increasing,Moderate,41105.21,Master’s Degree,14,8467,4447,36.16,67.4,China,26.15,False,616,1,1,2,3,3,-1.42437384335383,0.6515166739305776,1.1979743886215604,-0.21880950827123227,-0.47215129326876054,0.5997609013509996,-1.379480128779546
Tour manager,Finance,Increasing,High,121435.0,Associate Degree,5,6840,6963,1.36,93.49,UK,26.05,False,613,2,1,0,0,6,0.9100181214169363,-0.8334905604351075,0.6292845503216802,0.6589150389164531,-1.6735513226540724,1.507099994436135,-1.3852690494333997
Higher education careers adviser,Finance,Increasing,Low,124663.97,Master’s Degree,9,7445,9354,53.86,35.94,UK,75.44,False,291,2,1,1,3,6,1.0038523219356463,-0.17348734516146969,0.8407518841701298,1.493032444451332,0.1389056182289413,-0.4943321560832041,1.4738788615050056
Fitness centre manager,Transportation,Increasing,Moderate,41067.95,Bachelor’s Degree,20,3104,7299,98.89,59.01,UK,69.5,False,256,7,1,2,1,6,-1.42545662278855,1.6415214968410343,-0.6765699277903984,0.7761310356791964,1.6934758286663147,0.3079795678521765,1.1300169746660884
Immunologist,IT,Decreasing,Low,148115.7,PhD,2,7341,8522,33.47,71.87,India,20.75,False,314,4,0,1,4,5,1.6853620093377115,-1.3284929718903358,0.8044004747151897,1.2027833096102534,-0.5650181346206711,0.7552153186024583,-1.6920818440876526
Contracting civil engineer,Finance,Increasing,High,38486.99,PhD,12,9860,1304,17.25,72.21,Canada,55.07,False,136,2,1,0,4,2,-1.500459586015452,0.32151506629375864,1.6848735556478251,-1.315267477989394,-1.1249810218801468,0.7670395919504436,0.29467572431498107
Surgeon,Healthcare,Increasing,High,35799.45,PhD,2,6281,447,55.15,87.52,Brazil,37.04,False,566,3,1,0,4,1,-1.5785597750113403,-1.3284929718903358,0.43389572450137726,-1.614238041161034,0.18344027449063816,1.2994796653553278,-0.7490666695748641
Environmental consultant,Transportation,Decreasing,Low,54495.6,Associate Degree,20,1830,3231,11.48,48.54,India,39.11,False,226,7,0,1,0,5,-1.0352477318434326,1.6415214968410343,-1.1218746936134145,-0.643019782269732,-1.3241786704305276,-0.05613849671667628,-0.6292360120400899
"Engineer, electrical",Manufacturing,Increasing,Low,65875.53,PhD,3,7659,7989,31.94,31.73,Brazil,58.24,False,207,5,1,1,4,1,-0.7045457948452929,-1.1634921680719263,0.9155518997793335,1.0168424576026873,-0.6178383083264045,-0.6407444819509089,0.47818450904214754
"Surveyor, commercial/residential",IT,Decreasing,Low,60038.64,Bachelor’s Degree,0,3922,327,52.4,88.22,India,26.59,False,569,4,0,1,1,5,-0.8741664189655705,-1.6584945795271546,-0.39065211111596576,-1.656100897147728,0.0885020537777184,1.3238237575423573,-1.3540088779025892
Customer service manager,Finance,Increasing,Low,50955.44,Bachelor’s Degree,20,2523,2066,74.75,76.44,Australia,79.71,False,146,2,1,1,1,0,-1.138125145789154,1.6415214968410343,-0.8796484748415541,-1.0494383424738867,0.8600908657536299,0.9141474633092066,1.7210657734245638
Microbiologist,Entertainment,Decreasing,Moderate,113064.81,Bachelor’s Degree,6,5766,1439,77.68,47.32,Germany,30.38,False,381,1,0,2,1,4,0.6667795385748222,-0.6684897566166981,0.2538863411427797,-1.2681717650043631,0.9612432245495774,-0.09856677167121305,-1.1346087851215292
Secretary/administrator,Retail,Increasing,Low,97806.7,Master’s Degree,4,1437,272,24.61,60.71,USA,28.52,False,540,6,1,1,3,7,0.22337729164266318,-0.9984913642535169,-1.2592410774191016,-1.675288039474963,-0.8708918202630235,0.36710093459210497,-1.2422827092832103
Armed forces operational officer,Finance,Increasing,Moderate,102858.12,High School,20,2105,7045,42.29,10.19,USA,20.25,False,45,2,1,2,2,7,0.37017207672404256,1.6415214968410343,-1.0257531782277556,0.687521323840694,-0.2605253685523248,-1.389846975820354,-1.7210264473569217
"Therapist, horticultural",Healthcare,Decreasing,Moderate,82449.59,PhD,11,8459,4383,19.56,46.59,Australia,30.99,False,607,3,0,2,4,0,-0.22290190547836483,0.1565142624753492,1.1951781263557957,-0.24113636479746908,-1.0452329164812943,-0.12395418209482924,-1.0992963691330209
Architect,Healthcare,Increasing,Low,147313.07,Bachelor’s Degree,16,7292,2487,0.79,61.68,Germany,26.25,False,41,3,1,1,1,4,1.6620374989327424,0.9815182815673964,0.7872733683373814,-0.9025694893872351,-1.6932294265836594,0.40083489090841695,-1.373691208125692
"Engineer, structural",Education,Increasing,High,77792.33,Bachelor’s Degree,7,7836,6700,71.9,36.73,Australia,63.61,False,220,0,1,0,1,0,-0.35824236039363705,-0.5034889527982885,0.9774192024093757,0.5671656128789486,0.7617003461056951,-0.4668581091864139,0.7890495481540979
Trade union research officer,IT,Decreasing,High,82029.69,Master’s Degree,8,3144,3121,55.22,98.23,Brazil,60.82,False,619,4,0,0,3,1,-0.23510424269357766,-0.33848814897987917,-0.6625886164615753,-0.6813940669242016,0.18585688374514886,1.6719442758168765,0.6275386619115761
Radio producer,Finance,Increasing,Moderate,105560.54,Master’s Degree,20,7406,3389,68.35,19.84,Brazil,48.26,False,496,2,1,2,3,1,0.4487046800513488,1.6415214968410343,0.8271201056245272,-0.5879003552205848,0.6391437339126529,-1.0542462763848783,-0.09954977221246472
Primary school teacher,Manufacturing,Decreasing,High,137071.8,High School,0,1171,8644,74.87,52.54,India,60.76,False,448,5,0,0,2,5,1.3644251387230626,-1.6584945795271546,-1.3522167977557753,1.2453438798633922,0.8642336244756484,0.08297060149491983,0.6240653095192638
Site engineer,Finance,Increasing,Moderate,50632.02,Master’s Degree,1,1868,6591,85.62,30.27,Australia,26.77,False,545,2,1,2,3,0,-1.147523764274851,-1.4934937757087452,-1.1085924478510325,0.5291401853577015,1.2353557599897893,-0.6915193027981416,-1.3435888207256523
Tour manager,Retail,Decreasing,Low,80521.07,Bachelor’s Degree,6,3142,507,79.18,8.83,USA,74.74,False,613,6,0,1,1,7,-0.27894489515753235,-0.6684897566166981,-0.6632876820280165,-1.593306613167687,1.0130277085748065,-1.4371440692122968,1.4333564169280286
Electrical engineer,Manufacturing,Increasing,Moderate,88804.87,Bachelor’s Degree,2,5614,3475,66.17,5.43,Germany,53.48,False,189,5,1,2,1,4,-0.03821681460649335,-1.3284929718903358,0.20075735809325185,-0.557898641763454,0.5638836171293203,-1.5553868026921533,0.202631885918705
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low,113965.96,Associate Degree,11,2103,3229,38.63,48.58,Germany,53.01,False,44,6,0,1,0,4,0.6929670503192596,0.1565142624753492,-1.0264522437941968,-0.6437174965361769,-0.38687950957388334,-0.05474740573456035,0.1754239588455921
"Programmer, systems",Finance,Increasing,Low,131852.51,High School,9,1876,5623,20.29,7.3,UK,22.67,False,468,2,1,1,2,6,1.2127520341648612,-0.17348734516146969,-1.1057961855852678,0.19144648039836945,-1.020031134255683,-1.4903532992782322,-1.580934567533659
Archivist,Finance,Decreasing,High,33072.25,Master’s Degree,7,2569,1514,83.28,83.87,Germany,52.41,False,43,2,0,0,3,4,-1.6578124876889513,-0.5034889527982885,-0.8635699668134075,-1.2420074800126795,1.154571964910432,1.1725426132372465,0.14069043492246905
Tourist information centre manager,Retail,Increasing,High,46195.73,Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46,False,615,6,1,0,0,1,-1.2764428082483619,-0.33848814897987917,0.6869574595530755,1.1727815961531225,-1.420843040610955,1.3728597146619448,1.5908150587128527
Occupational therapist,Manufacturing,Increasing,Moderate,82210.61,PhD,20,7442,8558,47.66,20.84,Brazil,57.67,False,407,5,1,2,4,1,-0.22984668887367693,1.6415214968410343,0.839703285820468,1.2153421664062616,-0.07513691574200518,-1.0194690018319794,0.44518766131518067
General practice doctor,Transportation,Increasing,High,94118.58,PhD,0,4069,5391,99.88,21.59,USA,37.47,False,269,7,1,0,4,7,0.11620014486921403,-1.6584945795271546,-0.33927079198254084,0.11051162549076096,1.7276535881229658,-0.9933860459173051,-0.7241743107632928
Air cabin crew,Retail,Decreasing,Low,96498.83,Master’s Degree,10,815,1655,50.9,46.38,USA,74.62,False,29,6,0,1,3,7,0.1853704548394706,-0.008486541343060247,-1.476650468582301,-1.1928186242283139,0.036717569752489444,-0.13125740975093805,1.4264097121434047
"Therapist, art",Retail,Decreasing,Moderate,74424.16,PhD,5,622,2406,47.96,53.24,USA,53.94,False,605,6,0,2,4,7,-0.4561217272385143,-0.8334905604351075,-1.5441102957438724,-0.9308269171782536,-0.06478001893695924,0.10731469368194925,0.2292609209264327
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,76301.45,Bachelor’s Degree,5,9510,9086,86.47,57.29,China,43.21,False,350,0,0,0,1,3,-0.40156748663182906,-0.8334905604351075,1.562537081520623,1.3995387327477153,1.264700300937419,0.24816265562119022,-0.39189026523208287
Herbalist,Manufacturing,Increasing,High,106276.67,Master’s Degree,11,813,2546,95.92,50.01,India,64.31,False,288,5,1,0,3,5,0.46951549155392214,0.1565142624753492,-1.4773495341487421,-0.8819869185271105,1.5909425502963614,-0.005015903123914747,0.8295719927310748
Technical brewer,Education,Decreasing,Moderate,114843.48,PhD,12,9965,2903,91.98,43.49,Brazil,46.01,False,592,0,0,2,4,1,0.7184678718317473,0.32151506629375864,1.7215744978859857,-0.7574449219666958,1.4549219722567601,-0.23176373320881627,-0.22980048692417585
Water engineer,Entertainment,Decreasing,Moderate,33122.25,Bachelor’s Degree,4,187,8383,21.9,8.62,USA,28.55,False,633,1,0,2,1,7,-1.6563594825430579,-0.9984913642535169,-1.6961570564448238,1.1542921680923326,-0.9644491214019372,-1.4444472968684055,-1.2405460330870541
Animal technologist,Finance,Decreasing,Moderate,112646.79,Associate Degree,7,2976,8835,34.51,94.79,USA,27.37,False,36,2,0,2,0,7,0.6546318343530947,-0.5034889527982885,-0.7213101240426324,1.3119755923088803,-0.5291142256965123,1.552310451354904,-1.308855296802529
Clothing/textile technologist,Finance,Decreasing,Moderate,128177.18,Master’s Degree,12,7678,5185,22.6,54.03,Brazil,33.84,False,116,2,0,2,3,1,1.1059465661077308,0.32151506629375864,0.9221930226605244,0.03864705604693616,-0.9402830288568302,0.13478874057873946,-0.9343121304981864
Site engineer,Education,Decreasing,High,87311.09,Master’s Degree,17,4517,3138,15.96,86.18,Australia,51.11,False,545,0,0,0,3,0,-0.08162621514314697,1.1465190853858058,-0.182680105099722,-0.6754634956594199,-1.1695156781418437,1.2528781174544434,0.06543446642236946
Cabin crew,Retail,Decreasing,High,93530.19,Associate Degree,15,4742,4747,92.46,19.9,UK,53.04,False,76,6,0,0,0,6,0.09910147091336938,0.816517477748987,-0.10403522887509198,-0.11415236830449713,1.471493007144833,-1.0521596399117046,0.1771606350417483
Estate manager/land agent,Retail,Increasing,Moderate,41380.56,PhD,5,701,3748,72.19,22.63,Germany,47.46,False,234,6,1,2,4,4,-1.416372144015395,-0.8334905604351075,-1.5164972058694468,-0.4626606443937251,0.7717120130172391,-0.9572176803822902,-0.14586113744329518
Database administrator,Entertainment,Decreasing,High,61072.12,Bachelor’s Degree,17,5028,7954,13.43,23.69,Brazil,59.66,False,152,1,0,0,1,1,-0.8441333838020116,1.1465190853858058,-0.004068852874006732,1.0046324579399015,-1.25685884119773,-0.920353769356217,0.5603871823268716
"Teacher, music",Manufacturing,Decreasing,High,147474.55,PhD,17,3722,8025,95.69,54.06,Canada,66.61,False,586,5,0,0,4,2,1.6667301243519195,1.1465190853858058,-0.4605586677600813,1.0294013143986955,1.5830022627458262,0.13583205881532648,0.9627171677697127
Clinical embryologist,IT,Increasing,Moderate,99763.19,Associate Degree,16,6683,3285,74.98,71.29,Australia,37.61,False,111,4,1,2,0,0,0.2802330924004439,0.9815182815673964,0.5744079033560495,-0.6241814970757197,0.8680311533041652,0.7350444993617768,-0.7160698218478974
Photographer,Retail,Increasing,Moderate,39219.27,Bachelor’s Degree,19,3161,1466,89.91,91.28,Brazil,43.23,False,434,6,1,2,1,1,-1.479179453850755,1.4765206930226247,-0.6566465591468255,-1.258752622407357,1.3834593843019438,1.4302422176742282,-0.3907324811013123
Consulting civil engineer,Transportation,Increasing,Low,47345.9,High School,15,5603,6775,71.4,85.49,China,76.68,False,135,7,1,1,2,3,-1.2430187496753171,0.816517477748987,0.1969124974778255,0.5933298978706324,0.7444388514306188,1.2288817980129427,1.5456614776127937
"Designer, multimedia",Finance,Increasing,Low,36480.96,PhD,1,3400,2048,42.57,23.04,China,62.43,False,164,2,1,1,4,3,-1.5587550242717836,-1.4934937757087452,-0.5731082239571074,-1.0557177708718908,-0.250858931534282,-0.9429589978156016,0.7207402844386228
Architectural technologist,Education,Increasing,High,112692.04,High School,16,2870,9159,51.62,50.77,China,20.36,False,42,0,1,0,2,3,0.6559468040101282,0.9815182815673964,-0.7583605990640137,1.4250053034729542,0.06157412208459931,0.021414825536288692,-1.7146586346376826
Acupuncturist,Retail,Decreasing,Low,53447.29,Bachelor’s Degree,17,7125,470,85.94,78.62,Brazil,67.13,False,9,6,0,1,1,1,-1.065711728333263,1.1465190853858058,0.7289013935395449,-1.6062143270969176,1.2464031165818379,0.9899619218345267,0.9928195551697524
"Engineer, technical sales",Manufacturing,Increasing,Low,66531.98,Bachelor’s Degree,20,6137,8584,80.82,20.06,China,60.05,False,221,5,1,1,1,3,-0.6854692902848581,1.6415214968410343,0.38356300371761404,1.2244124518700452,1.0696454111090563,-1.0465952759832406,0.5829639728769015
"Engineer, mining",Healthcare,Decreasing,Low,115731.01,PhD,12,6625,5265,96.13,78.58,China,22.78,False,216,3,0,1,4,3,0.7442595849744432,0.32151506629375864,0.554135001929256,0.0665556267047322,1.5981923780598932,0.9885708308524105,-1.5745667548144198
"Investment banker, operational",Education,Increasing,High,48522.58,PhD,2,3494,1524,89.76,88.44,UK,40.62,False,330,0,1,0,4,6,-1.2088243077739196,-1.3284929718903358,-0.540252142334373,-1.2385189086804549,1.3782809358994212,1.331474757943995,-0.5418233101668972
Manufacturing engineer,Transportation,Decreasing,Low,95483.65,High School,4,5842,2181,54.32,65.13,Germany,40.78,False,361,7,0,1,2,4,0.1558692195593086,-0.9984913642535169,0.2804508326675436,-1.009319772153305,0.15478619333001153,0.5208164881159185,-0.5325610371207309
"Librarian, public",Education,Increasing,High,145028.73,High School,4,7767,669,48.68,94.53,Germany,60.52,False,348,0,1,0,2,4,1.5956543434333388,-0.9984913642535169,0.9533014403671558,-1.53679175758565,-0.03992346660484938,1.54326835997115,0.6101718999500149
Air broker,Transportation,Decreasing,Moderate,134199.76,Bachelor’s Degree,9,5919,7865,6.29,73.96,India,37.44,False,28,7,0,2,1,5,1.280963360738828,-0.17348734516146969,0.30736485697552807,0.9735841730831034,-1.5033529851578198,0.8278998224180169,-0.7259109869594489
Counselling psychologist,Finance,Increasing,Low,129086.95,Associate Degree,10,8436,7321,86.99,92.97,Australia,27.0,False,143,2,1,1,0,0,1.1323845759393203,-0.008486541343060247,1.1871388723417224,0.7838058926100904,1.2826522553994981,1.4890158116686276,-1.3302743032217883
Microbiologist,Finance,Increasing,High,49354.81,High School,13,7779,2602,15.01,5.23,Brazil,47.94,False,381,2,1,0,2,1,-1.1846396183225818,0.48651587011216807,0.9574958337658027,-0.8624509190666534,-1.202312518024489,-1.5623422576027333,-0.11807431830479699
Quarry manager,Entertainment,Decreasing,High,78151.66,PhD,12,1542,224,93.08,38.05,China,27.12,False,492,1,0,0,4,3,-0.3478001936121593,0.32151506629375864,-1.2225401351809408,-1.6920331818696406,1.4928972605419277,-0.4209521067765872,-1.3233275984371637
Speech and language therapist,Finance,Decreasing,Low,142772.8,Associate Degree,6,8551,7427,1.56,14.37,UK,73.21,False,556,2,0,1,0,6,1.5300967854578311,-0.6684897566166981,1.2273351424120889,0.8207847487316701,-1.6666467247840417,-1.2444779681892362,1.344785930924065
Ranger/warden,Retail,Increasing,Moderate,77414.15,Associate Degree,16,1135,1815,28.29,30.13,Brazil,22.82,False,499,6,1,2,0,1,-0.3692323101151168,0.9815182815673964,-1.3647999779517161,-1.1370014829127217,-0.7438472194544617,-0.6963881212355474,-1.5722511865528783
Animal nutritionist,Retail,Decreasing,Low,132109.73,PhD,9,1393,5492,44.12,82.2,China,64.51,False,35,6,0,1,4,3,1.2202268738373954,-0.17348734516146969,-1.274620519880807,0.14574619594622845,-0.1973482980415455,1.114464564733905,0.8411498340387827
